epoch,training_loss,gradient_norm
1,2.271144170946578,1.8450008928613784
2,1.723296107212857,1.7483522910531515
3,1.2837054687703005,1.3644284984447017
4,0.9688418254181265,1.3417089736106014
5,0.736345915133196,1.196391905923979
6,0.5742291082585645,1.1449684075499629
7,0.4584669712838963,1.1535925708743795
8,0.402048026572722,0.9567698322571387
9,0.4036312590733803,3.7196623684333567
10,0.2518607213351252,0.9772248083880859
11,0.17669749014060554,1.0048949503930238
12,0.12730093363781256,0.6218492265359328
13,0.06777858895063375,0.48559353433599173
14,0.035894019786297506,0.11068400962795995
15,0.022167441768560645,0.17067454212195501
16,0.014361713354320219,0.08683266240374841
17,0.01025806518372465,0.04364193316993993
18,0.008052303082718227,0.0369029736251477
19,0.006653935949396777,0.031004525300886897
20,0.005706869348312036,0.026319568286738603
21,0.005045173672323868,0.02330755732188723
22,0.004541904306975454,0.02096424344609996
23,0.004138336313116764,0.01905383481885588
24,0.003804362779642365,0.017486920864431515
25,0.003520722939260665,0.016162212869775712
26,0.003274995330680677,0.015030498762641877
27,0.0030596366070476445,0.014047721535031563
28,0.002868725978737085,0.013172312068280116
29,0.0026974896667672464,0.012383103452531234
30,0.0025427993111185702,0.011671705276883269
31,0.0024023709013230206,0.011029081833293417
32,0.002274349539514126,0.010444485756065994
33,0.002157172425094407,0.009910013283997607
34,0.0020496100825253276,0.009419939958605057
35,0.0019505685450209303,0.008968949740214971
36,0.0018591889923836094,0.008552556511561398
37,0.0017744913642319178,0.00816769323486803
38,0.0016959327584124256,0.007810634489901891
39,0.0016229017628444017,0.007477890700825986
40,0.0015548155698792325,0.007167335686016862
41,0.0014912176591603498,0.006877646554237147
42,0.0014316684866220138,0.006607237020008691
43,0.0013758482760210216,0.006353632648010653
44,0.0013234438458437808,0.006115613164615926
45,0.0012741885146762047,0.005892402871271855
46,0.0012277818876011346,0.005682156454128638
47,0.0011840219510325825,0.005483417783909916
48,0.0011426957561674444,0.005295471489706205
49,0.0011036018426889606,0.0051177933721089745
50,0.0010666054356473604,0.004949308299784252
51,0.0010315460819857354,0.004789895583033585
52,0.00099827773290896,0.004638652108276678
53,0.000966689775375752,0.004494341189179179
54,0.0009366397700424166,0.004357147646457346
55,0.0009080480259746542,0.004226535045127691
56,0.0008808041899256266,0.004102349990064113
57,0.0008548330717990132,0.00398374009362507
58,0.0008300513202055163,0.0038701914005654036
59,0.0008063981806969415,0.0037616499505655353
60,0.0007837671293198334,0.0036582115261203055
61,0.000762119765098833,0.003559191247604451
62,0.0007413998572250326,0.003464299305974306
63,0.0007215601243748458,0.0033733010960537925
64,0.0007025363486603393,0.0032861220654731966
65,0.0006842856270172859,0.0032024653037637557
66,0.0006667666902815276,0.0031222052719022753
67,0.0006499363900111365,0.0030450830940028767
68,0.0006337562450644097,0.002970855917637324
69,0.0006181986449956086,0.002899420286955645
70,0.0006032279988178961,0.0028307915855332573
71,0.0005888172310415988,0.00276459327484318
72,0.0005749352501270316,0.0027006450905047944
73,0.0005615653088660738,0.0026390438015654874
74,0.000548664818171466,0.002580655018385148
75,0.0005362280032508022,0.0025234561757204975
76,0.0005242224111420781,0.002468033324936698
77,0.0005126309164554424,0.0024143459925276218
78,0.0005014319638058522,0.002362443982188602
79,0.0004906128354923957,0.0023124311035913627
80,0.00048014682926207517,0.0022642178800339166
81,0.00047002638998827894,0.0022174078220140673
82,0.0004602334060132207,0.002171944704823616
83,0.00045075084799639037,0.002128067103655076
84,0.00044156953159066884,0.0020856391841128983
85,0.0004326732803598074,0.0020445326690473452
86,0.00042405195804775414,0.002004762686428728
87,0.00041569530217900534,0.0019660923999590438
88,0.0004075880533994922,0.0019284884198665173
89,0.0003997239667249762,0.001892162200375276
90,0.0003920929410423409,0.0018568590971995385
91,0.0003846844229391712,0.0018225394821332278
92,0.0003774860463427732,0.001789293948514613
93,0.0003704963334469343,0.0017569774512400014
94,0.00036370472475180947,0.0017255951418212667
95,0.0003571028305173881,0.0016950386502820889
96,0.0003506819657567027,0.0016654396847384932
97,0.0003444358289593779,0.0016366546425262906
98,0.00033836048962717773,0.0016085196738619212
99,0.0003324495817349196,0.0015811116728023614
100,0.0003266947703607546,0.001554456710105314
101,0.00032109104204235036,0.0015284446578124342
102,0.00031563331910055783,0.0015032073519724264
103,0.00031031737517275165,0.0014785418586584034
104,0.00030513572003410834,0.0014544523152007123
105,0.0003000877268414843,0.0014310327641077808
106,0.00029516543381855363,0.0014083334941695142
107,0.0002903657507674908,0.001386718742874188
108,0.00028568272076743005,0.0013648772434079364
109,0.0002811141332531571,0.0013435274317839647
110,0.00027665663330549443,0.0013226821910563783
111,0.000272306146432111,0.0013024309167019863
112,0.0002680596169564331,0.0012826633271615453
113,0.0002639127393697491,0.0012633637907213905
114,0.0002598621780776616,0.001244452044445054
115,0.00025590579301493487,0.0012259646218465547
116,0.00025204172294890104,0.0012079893765208332
117,0.00024826536304937383,0.0011903708407789777
118,0.00024457382838989974,0.00117311868363695
119,0.00024096531774748058,0.0011562811713679256
120,0.00023743703130556766,0.0011399307136412357
